YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AL,Alabama,32,Total,"(32.84057112200048, -86.63186076199969)",Total,OVR,OVERALL
2011,2011,AK,Alaska,27.4,Total,"(64.84507995700051, -147.72205903599973)",Total,OVR,OVERALL
2011,2011,AZ,Arizona,25.1,Total,"(34.865970280000454, -111.76381127699972)",Total,OVR,OVERALL
2011,2011,AR,Arkansas,30.9,Total,"(34.74865012400045, -92.27449074299966)",Total,OVR,OVERALL
2011,2011,CA,California,23.8,Total,"(37.63864012300047, -120.99999953799971)",Total,OVR,OVERALL
2011,2011,CO,Colorado,20.7,Total,"(38.843840757000464, -106.13361092099967)",Total,OVR,OVERALL
2011,2011,CT,Connecticut,24.5,Total,"(41.56266102000046, -72.64984095199964)",Total,OVR,OVERALL
2011,2011,DE,Delaware,28.8,Total,"(39.008830667000495, -75.57774116799965)",Total,OVR,OVERALL
2011,2011,DC,District of Columbia,23.7,Total,"(38.89037138500049, -77.03196112699965)",Total,OVR,OVERALL
2011,2011,FL,Florida,26.6,Total,"(28.932040377000476, -81.92896053899966)",Total,OVR,OVERALL
2011,2011,GA,Georgia,28,Total,"(32.83968109300048, -83.62758034599966)",Total,OVR,OVERALL
2011,2011,HI,Hawaii,21.8,Total,"(21.304850435000446, -157.85774940299973)",Total,OVR,OVERALL
2011,2011,ID,Idaho,27,Total,"(43.682630005000476, -114.3637300419997)",Total,OVR,OVERALL
2011,2011,IL,Illinois,27.1,Total,"(40.48501028300046, -88.99771017799969)",Total,OVR,OVERALL
2011,2011,IN,Indiana,30.8,Total,"(39.766910452000445, -86.14996019399968)",Total,OVR,OVERALL
2011,2011,IA,Iowa,29,Total,"(42.46940091300047, -93.81649055599968)",Total,OVR,OVERALL
2011,2011,KS,Kansas,29.6,Total,"(38.34774030000045, -98.20078122699965)",Total,OVR,OVERALL
2011,2011,KY,Kentucky,30.4,Total,"(37.645970271000465, -84.77497104799966)",Total,OVR,OVERALL
2011,2011,LA,Louisiana,33.4,Total,"(31.31266064400046, -92.44568007099969)",Total,OVR,OVERALL
2011,2011,ME,Maine,27.8,Total,"(45.254228894000505, -68.98503133599962)",Total,OVR,OVERALL
2011,2011,MD,Maryland,28.3,Total,"(39.29058096400047, -76.60926011099963)",Total,OVR,OVERALL
2011,2011,MA,Massachusetts,22.7,Total,"(42.27687047000046, -72.08269067499964)",Total,OVR,OVERALL
2011,2011,MI,Michigan,31.3,Total,"(44.6613195430005, -84.71439026999968)",Total,OVR,OVERALL
2011,2011,MN,Minnesota,25.7,Total,"(46.35564873600049, -94.79420050299967)",Total,OVR,OVERALL
2011,2011,MS,Mississippi,34.9,Total,"(32.745510099000455, -89.53803082499968)",Total,OVR,OVERALL
2011,2011,MO,Missouri,30.3,Total,"(38.635790776000476, -92.56630005299968)",Total,OVR,OVERALL
2011,2011,MT,Montana,24.6,Total,"(47.06652897200047, -109.42442064499971)",Total,OVR,OVERALL
2011,2011,US,National,27.4,Total,,Total,OVR,OVERALL
2011,2011,NE,Nebraska,28.4,Total,"(41.6410409880005, -99.36572062299967)",Total,OVR,OVERALL
2011,2011,NV,Nevada,24.5,Total,"(39.493240390000494, -117.07184056399967)",Total,OVR,OVERALL
2011,2011,NH,New Hampshire,26.2,Total,"(43.65595011300047, -71.50036091999965)",Total,OVR,OVERALL
2011,2011,NJ,New Jersey,23.7,Total,"(40.13057004800049, -74.27369128799967)",Total,OVR,OVERALL
2011,2011,NM,New Mexico,26.3,Total,"(34.52088095200048, -106.24058098499967)",Total,OVR,OVERALL
2011,2011,NY,New York,24.5,Total,"(42.82700103200045, -75.54397042699964)",Total,OVR,OVERALL
2011,2011,NC,North Carolina,29.1,Total,"(35.466220975000454, -79.15925046299964)",Total,OVR,OVERALL
2011,2011,ND,North Dakota,27.8,Total,"(47.47531977900047, -100.11842104899966)",Total,OVR,OVERALL
2011,2011,OH,Ohio,29.6,Total,"(40.06021014100048, -82.40426005599966)",Total,OVR,OVERALL
2011,2011,OK,Oklahoma,31.1,Total,"(35.47203135600046, -97.52107021399968)",Total,OVR,OVERALL
2011,2011,OR,Oregon,26.7,Total,"(44.56744942400047, -120.15503132599969)",Total,OVR,OVERALL
2011,2011,PA,Pennsylvania,28.6,Total,"(40.79373015200048, -77.86070029399963)",Total,OVR,OVERALL
2011,2011,RI,Rhode Island,25.4,Total,"(41.70828019300046, -71.52247031399963)",Total,OVR,OVERALL
2011,2011,SC,South Carolina,30.8,Total,"(33.998821303000454, -81.04537120699968)",Total,OVR,OVERALL
2011,2011,SD,South Dakota,28.1,Total,"(44.353130053000484, -100.3735306369997)",Total,OVR,OVERALL
2011,2011,TN,Tennessee,29.2,Total,"(35.68094058000048, -85.77449091399967)",Total,OVR,OVERALL
2011,2011,TX,Texas,30.4,Total,"(31.827240407000488, -99.42677020599967)",Total,OVR,OVERALL
2011,2011,UT,Utah,24.4,Total,"(39.360700171000474, -111.58713063499971)",Total,OVR,OVERALL
2011,2011,VT,Vermont,25.4,Total,"(43.62538123900049, -72.51764079099962)",Total,OVR,OVERALL
2011,2011,VA,Virginia,29.2,Total,"(37.54268067400045, -78.45789046299967)",Total,OVR,OVERALL
2011,2011,WA,Washington,26.5,Total,"(47.52227862900048, -120.47001078999972)",Total,OVR,OVERALL
2011,2011,WV,West Virginia,32.4,Total,"(38.66551020200046, -80.71264013499967)",Total,OVR,OVERALL
2011,2011,WI,Wisconsin,27.7,Total,"(44.39319117400049, -89.81637074199966)",Total,OVR,OVERALL
2011,2011,WY,Wyoming,25,Total,"(43.23554134300048, -108.10983035299967)",Total,OVR,OVERALL
2012,2012,AL,Alabama,33,Total,"(32.84057112200048, -86.63186076199969)",Total,OVR,OVERALL
2012,2012,AK,Alaska,25.7,Total,"(64.84507995700051, -147.72205903599973)",Total,OVR,OVERALL
2012,2012,AZ,Arizona,26,Total,"(34.865970280000454, -111.76381127699972)",Total,OVR,OVERALL
2012,2012,AR,Arkansas,34.5,Total,"(34.74865012400045, -92.27449074299966)",Total,OVR,OVERALL
2012,2012,CA,California,25,Total,"(37.63864012300047, -120.99999953799971)",Total,OVR,OVERALL
2012,2012,CO,Colorado,20.5,Total,"(38.843840757000464, -106.13361092099967)",Total,OVR,OVERALL
2012,2012,CT,Connecticut,25.6,Total,"(41.56266102000046, -72.64984095199964)",Total,OVR,OVERALL
2012,2012,DE,Delaware,26.9,Total,"(39.008830667000495, -75.57774116799965)",Total,OVR,OVERALL
2012,2012,DC,District of Columbia,21.9,Total,"(38.89037138500049, -77.03196112699965)",Total,OVR,OVERALL
2012,2012,FL,Florida,25.2,Total,"(28.932040377000476, -81.92896053899966)",Total,OVR,OVERALL
2012,2012,GA,Georgia,29.1,Total,"(32.83968109300048, -83.62758034599966)",Total,OVR,OVERALL
2012,2012,HI,Hawaii,23.6,Total,"(21.304850435000446, -157.85774940299973)",Total,OVR,OVERALL
2012,2012,ID,Idaho,26.8,Total,"(43.682630005000476, -114.3637300419997)",Total,OVR,OVERALL
2012,2012,IL,Illinois,28.1,Total,"(40.48501028300046, -88.99771017799969)",Total,OVR,OVERALL
2012,2012,IN,Indiana,31.4,Total,"(39.766910452000445, -86.14996019399968)",Total,OVR,OVERALL
2012,2012,IA,Iowa,30.4,Total,"(42.46940091300047, -93.81649055599968)",Total,OVR,OVERALL
2012,2012,KS,Kansas,29.8,Total,"(38.34774030000045, -98.20078122699965)",Total,OVR,OVERALL
2012,2012,KY,Kentucky,31.3,Total,"(37.645970271000465, -84.77497104799966)",Total,OVR,OVERALL
2012,2012,LA,Louisiana,34.7,Total,"(31.31266064400046, -92.44568007099969)",Total,OVR,OVERALL
2012,2012,ME,Maine,28.3,Total,"(45.254228894000505, -68.98503133599962)",Total,OVR,OVERALL
2012,2012,MD,Maryland,27.6,Total,"(39.29058096400047, -76.60926011099963)",Total,OVR,OVERALL
2012,2012,MA,Massachusetts,22.9,Total,"(42.27687047000046, -72.08269067499964)",Total,OVR,OVERALL
2012,2012,MI,Michigan,31.1,Total,"(44.6613195430005, -84.71439026999968)",Total,OVR,OVERALL
2012,2012,MN,Minnesota,25.7,Total,"(46.35564873600049, -94.79420050299967)",Total,OVR,OVERALL
2012,2012,MS,Mississippi,34.6,Total,"(32.745510099000455, -89.53803082499968)",Total,OVR,OVERALL
2012,2012,MO,Missouri,29.6,Total,"(38.635790776000476, -92.56630005299968)",Total,OVR,OVERALL
2012,2012,MT,Montana,24.3,Total,"(47.06652897200047, -109.42442064499971)",Total,OVR,OVERALL
2012,2012,US,National,27.7,Total,,Total,OVR,OVERALL
2012,2012,NE,Nebraska,28.6,Total,"(41.6410409880005, -99.36572062299967)",Total,OVR,OVERALL
2012,2012,NV,Nevada,26.2,Total,"(39.493240390000494, -117.07184056399967)",Total,OVR,OVERALL
2012,2012,NH,New Hampshire,27.3,Total,"(43.65595011300047, -71.50036091999965)",Total,OVR,OVERALL
2012,2012,NJ,New Jersey,24.6,Total,"(40.13057004800049, -74.27369128799967)",Total,OVR,OVERALL
2012,2012,NM,New Mexico,27.1,Total,"(34.52088095200048, -106.24058098499967)",Total,OVR,OVERALL
2012,2012,NY,New York,23.6,Total,"(42.82700103200045, -75.54397042699964)",Total,OVR,OVERALL
2012,2012,NC,North Carolina,29.6,Total,"(35.466220975000454, -79.15925046299964)",Total,OVR,OVERALL
2012,2012,ND,North Dakota,29.7,Total,"(47.47531977900047, -100.11842104899966)",Total,OVR,OVERALL
2012,2012,OH,Ohio,30.1,Total,"(40.06021014100048, -82.40426005599966)",Total,OVR,OVERALL
2012,2012,OK,Oklahoma,32.2,Total,"(35.47203135600046, -97.52107021399968)",Total,OVR,OVERALL
2012,2012,OR,Oregon,27.3,Total,"(44.56744942400047, -120.15503132599969)",Total,OVR,OVERALL
2012,2012,PA,Pennsylvania,29.1,Total,"(40.79373015200048, -77.86070029399963)",Total,OVR,OVERALL
2012,2012,RI,Rhode Island,25.7,Total,"(41.70828019300046, -71.52247031399963)",Total,OVR,OVERALL
2012,2012,SC,South Carolina,31.6,Total,"(33.998821303000454, -81.04537120699968)",Total,OVR,OVERALL
2012,2012,SD,South Dakota,28.1,Total,"(44.353130053000484, -100.3735306369997)",Total,OVR,OVERALL
2012,2012,TN,Tennessee,31.1,Total,"(35.68094058000048, -85.77449091399967)",Total,OVR,OVERALL
2012,2012,TX,Texas,29.2,Total,"(31.827240407000488, -99.42677020599967)",Total,OVR,OVERALL
2012,2012,UT,Utah,24.3,Total,"(39.360700171000474, -111.58713063499971)",Total,OVR,OVERALL
2012,2012,VT,Vermont,23.7,Total,"(43.62538123900049, -72.51764079099962)",Total,OVR,OVERALL
2012,2012,VA,Virginia,27.4,Total,"(37.54268067400045, -78.45789046299967)",Total,OVR,OVERALL
2012,2012,WA,Washington,26.8,Total,"(47.52227862900048, -120.47001078999972)",Total,OVR,OVERALL
2012,2012,WV,West Virginia,33.8,Total,"(38.66551020200046, -80.71264013499967)",Total,OVR,OVERALL
2012,2012,WI,Wisconsin,29.7,Total,"(44.39319117400049, -89.81637074199966)",Total,OVR,OVERALL
2012,2012,WY,Wyoming,24.6,Total,"(43.23554134300048, -108.10983035299967)",Total,OVR,OVERALL
2013,2013,AL,Alabama,32.4,Total,"(32.84057112200048, -86.63186076199969)",Total,OVR,OVERALL
2013,2013,AK,Alaska,28.4,Total,"(64.84507995700051, -147.72205903599973)",Total,OVR,OVERALL
2013,2013,AZ,Arizona,26.8,Total,"(34.865970280000454, -111.76381127699972)",Total,OVR,OVERALL
2013,2013,AR,Arkansas,34.6,Total,"(34.74865012400045, -92.27449074299966)",Total,OVR,OVERALL
2013,2013,CA,California,24.1,Total,"(37.63864012300047, -120.99999953799971)",Total,OVR,OVERALL
2013,2013,CO,Colorado,21.3,Total,"(38.843840757000464, -106.13361092099967)",Total,OVR,OVERALL
2013,2013,CT,Connecticut,25,Total,"(41.56266102000046, -72.64984095199964)",Total,OVR,OVERALL
2013,2013,DE,Delaware,31.1,Total,"(39.008830667000495, -75.57774116799965)",Total,OVR,OVERALL
2013,2013,DC,District of Columbia,22.9,Total,"(38.89037138500049, -77.03196112699965)",Total,OVR,OVERALL
2013,2013,FL,Florida,26.4,Total,"(28.932040377000476, -81.92896053899966)",Total,OVR,OVERALL
2013,2013,GA,Georgia,30.3,Total,"(32.83968109300048, -83.62758034599966)",Total,OVR,OVERALL
2013,2013,HI,Hawaii,21.8,Total,"(21.304850435000446, -157.85774940299973)",Total,OVR,OVERALL
2013,2013,ID,Idaho,29.6,Total,"(43.682630005000476, -114.3637300419997)",Total,OVR,OVERALL
2013,2013,IL,Illinois,29.4,Total,"(40.48501028300046, -88.99771017799969)",Total,OVR,OVERALL
2013,2013,IN,Indiana,31.8,Total,"(39.766910452000445, -86.14996019399968)",Total,OVR,OVERALL
2013,2013,IA,Iowa,31.3,Total,"(42.46940091300047, -93.81649055599968)",Total,OVR,OVERALL
2013,2013,KS,Kansas,30,Total,"(38.34774030000045, -98.20078122699965)",Total,OVR,OVERALL
2013,2013,KY,Kentucky,33.2,Total,"(37.645970271000465, -84.77497104799966)",Total,OVR,OVERALL
2013,2013,LA,Louisiana,33.1,Total,"(31.31266064400046, -92.44568007099969)",Total,OVR,OVERALL
2013,2013,ME,Maine,28.9,Total,"(45.254228894000505, -68.98503133599962)",Total,OVR,OVERALL
2013,2013,MD,Maryland,28.3,Total,"(39.29058096400047, -76.60926011099963)",Total,OVR,OVERALL
2013,2013,MA,Massachusetts,23.6,Total,"(42.27687047000046, -72.08269067499964)",Total,OVR,OVERALL
2013,2013,MI,Michigan,31.5,Total,"(44.6613195430005, -84.71439026999968)",Total,OVR,OVERALL
2013,2013,MN,Minnesota,25.5,Total,"(46.35564873600049, -94.79420050299967)",Total,OVR,OVERALL
2013,2013,MS,Mississippi,35.1,Total,"(32.745510099000455, -89.53803082499968)",Total,OVR,OVERALL
2013,2013,MO,Missouri,30.4,Total,"(38.635790776000476, -92.56630005299968)",Total,OVR,OVERALL
2013,2013,MT,Montana,24.6,Total,"(47.06652897200047, -109.42442064499971)",Total,OVR,OVERALL
